,title
311,Hakodate
312,Takahashi Hisako
313,Wilhelm Junker
314,Felix
315,Gamaliel III
316,Victoria Station
317,motor generator
318,Benue River
319,fish
320,Peter De Wint
321,pacifism
322,diphthong
323,"William Russell, 1st duke and 5th earl of Bedford"
324,ʿAmūq
325,Adam Naruszewicz
326,Appalachian Mountains
327,Pellegrino Tibaldi
328,green
329,Georg von Békésy
330,Moses De León
331,Franz Cumont
332,James Rennell
333,kinship terminology
334,student aid
335,cliff dwelling
336,American literature
337,afterpiece
338,metamorphism
339,"Dámaso Berenguer, count de Xauen"
340,Wen Tingyun
341,Automated Transfer Vehicle
342,stipulatio
343,National Archaeological Museum
344,Art Pepper
345,Gaius Cornelius Gallus
346,automatic picture transmission station
347,Podokesaurus
348,Jimmy McHugh
349,watt-hour meter
350,Nyeri
351,British Theatre Association
352,Gram stain
353,suspension bridge
354,Zog I
355,Pietro Verri
356,Romeo and Juliet
357,elephant shrew
358,"Charles-Guillaume-Marie-Apollinaire-Antoine Cousin-Montauban, count de Palikao"
359,Frederic Bartlett
360,casino
361,Lake Poyang
362,Mizoguchi Kenji
363,United States Presidential Election of 2016
364,reverberatory furnace
365,Annonaceae
366,Iglesia ni Cristo
367,Amravati
368,Adam Asnyk
369,Rolla
370,Kruger National Park
371,Waverley
372,Negros
373,audism
374,Altdorf
375,white-eye
376,Grande Range
377,Wesleyan Church
378,Saint Andrew of Crete
379,"Patrick Joseph Frawley, Jr."
380,Peter Falk
381,Poincaré conjecture
382,Demerara River
383,Marina
384,William Rowley
385,Mystery Sonatas
386,Chiang Ching-kuo
387,restless legs syndrome
388,classless society
389,Ulster
390,Carmen Polo de Franco
391,José Revueltas
392,Cambridge Platform
393,Bruno Bettelheim
394,Hypsipyle
395,lord privy seal
396,Caroline of Brunswick-Lüneburg
397,meantone temperament
398,William Heinesen
399,Richard
400,Jesuit drama
401,Robert J. Shiller
402,pyramid
403,"Ioánnis Antónios, Komis Kapodístrias"
404,Islāmic Development Bank
405,girandole
406,Pakistan Floods of 2010
407,infant mortality rate
408,Raritan River
409,Enderby Land
410,Sunderland
411,Thaba Bosiu
412,Netherlandic language
413,Roy Blunt
414,Tigranes II The Great
415,Ravidas
416,Mattancheri
417,cosmic X-ray background
418,horse collar
419,Judy Johnson
420,Xanthus
421,The Pioneers
422,suman
423,Santiago Rodríguez
424,Kwame Nkrumah
425,Roberto Clemente
426,Benjamin Britten
427,John X
428,Donald Duck
429,perovskite
430,Fifth Lateran Council
431,double Dutch
432,Ares
433,Hīnayāna
434,Walter William Skeat
435,Culion Island
436,Gran Paradiso
437,Loup River
438,Mauritius
439,F-15
440,molding
441,Satō Haruo
442,Yonkers
443,Flamborough Head
444,Justus of Ghent
445,Nicolas Perrot
446,bat fly
447,Évry
448,El Reno
449,Kate Winslet
450,Achagua
451,Goffredo Mameli
452,earplug
453,Chloé Zhao
454,Great Mother of the Gods
455,Kathy Whitworth
456,Richard Willstätter
457,Brassaï
458,Zeus
459,oral literature
460,Bergen
461,Shekhupūra
462,Wimbledon
463,Sutton
464,Elizabeth Gertrude Knight Britton
465,Mia Hamm
466,Charlie Barnet
467,mud turtle
468,Mag Tuired
469,San Juan Island National Historical Park
470,Caelius Aurelianus
471,voltmeter
472,Tatar Strait
473,Sir John Hawkins
474,dominus
475,electronic substrate and package ceramics
476,Sejong
477,New Mexico State University
478,collotype
479,Al-Ḥamrāʾ Plateau
480,Robert M. La Follette
481,Bou Saâda
482,Paul Poiret
483,Alexander VIII
484,Parian Chronicle
485,Rafael Reyes
486,Behemoth
487,Yemen
488,protactinium
489,Georgi Sava Rakovski
490,scorpaeniform
491,puerperium
492,"Sir William Johnson, 1st Baronet"
493,mixed forest
494,James Prescott Joule
495,Benedetto Cairoli
496,proconsul
497,saddle bronc-riding
498,Ethel Merman
499,Getafe
500,Geelong
501,Öndörhaan
502,John Earle
503,Folquet De Marseille
504,Edmund Husserl
505,Daigak Guksa
506,Evariste Régis Huc
507,Queen Anne style
508,Jane Leade
509,Ennin
510,Sayyid Zia od-Din Tabatabaʾi
511,electron diffraction
512,Leander Paes
513,"Lew Grade, Baron Grade of Elstree"
514,Mizar
515,Arthur Ochs Sulzberger
516,Cerignola
517,ganglion
518,COBOL
519,Vidya Balan
520,DUKW
521,Nicolaus Steno
522,David McCullough
523,Carl Albert
524,"William Fitzwilliam, earl of Southampton"
525,stone
526,Frances Willard
527,Stanley Kunitz
528,prevalence
529,Adangme
530,The Good Soldier
531,Macaire
532,Nat King Cole
533,Arkady Isaakovich Raikin
534,Jessie Willcox Smith
535,Shyam Benegal
536,degu
537,Alfonso Valdivieso Sarmiento
538,Fabianism
539,dopamine
540,GQ
541,Phanerozoic Eon
542,Qinzong
543,Eddie George
544,Dion and the Belmonts
545,Andreanof Islands
546,contempt
547,vocal sac
548,Aileen Wuornos
549,Miura
550,Zelten
551,Amadeus VIII
552,Pieter Lastman
553,Thomas Bernhard
554,Steve Scalise
555,Corybantes
556,cryptology
557,Francisco Franco
558,Guerrilla Girls
559,coco de mer
560,Jan Hus
561,peanut worm
562,dialectical behaviour therapy
563,Don S. Hewitt
564,amphioxus
565,Khwae Noi River
566,new town
567,Neisse River
568,Rasulid dynasty
569,Guainía River
570,Peace of God
571,dispensation
572,Gino Cervi
573,Henry Norris Russell
574,G. Donald Harrison
575,Ralph Modjeski
576,Numbered Treaties
577,ketene
578,William Donald Hamilton
579,Demyan Bedny
580,Leontini
581,Francisco de Bobadilla
582,Western Hemisphere
583,Birmingham enamelware
584,analysis of algorithms
585,Lacerta
586,Lalitpur
587,Shimane
588,benefice
589,Tommy Burns
590,Makrān
591,Dyckia
592,Dassault Industries
593,carbine
594,Johan Petter Falkberget
595,Bernard Miles
596,Later Ly dynasty
597,Phycomycetes
598,Shunga dynasty
599,Fernand de Brinon
600,John Dalton
601,Liang Shiqiu
602,Xingu River
603,humerus
604,Bute
605,Považská Bystrica
606,Gabriel Voisin
607,Pomatorhinidae
608,Soter Seleucus III
609,Lala Lajpat Rai
610,postcard
611,Hirsch Jacobs
612,Factory Act
613,Ramón Castilla
614,toad bug
615,Walter Bradford Cannon
616,Honiara
617,Owerri
618,Excelsior diamond
619,Huaian
620,Darius I
621,The Hindu
622,Balakovo
623,Superior Bay
624,Chodsko
625,hanamichi
626,Zoe
627,Gulf of Batabanó
628,Chen Jiongming
629,Canal du Midi
630,pneumothorax
631,front-loading
632,Nicholas Oresme
633,thyrotropin-releasing hormone
634,François-Alphonse Aulard
635,linglong ware
636,box jellyfish
637,Grigory Ivanovich Tunkin
638,Eric F. Goldman
639,Voronezh
640,Al-ʿĀriḍ
641,kiss
642,nasopharyngolaryngoscopy
643,Rudolf Christoph Eucken
644,pressure
645,Sister Mary Joseph Dempsey
646,Bernie Madoff
647,solenoid
648,viol
649,cane furniture
650,Nootka Sound
651,Altaisky Nature Reserve
652,Shīʿah
653,Helmand River
654,Shinran
655,Robert Ryan
656,Anton Raphael Mengs
657,goose
658,The Vikings
659,Guittone dArezzo
660,Gonzalo Pizarro
661,Edward Forbes
662,Central Pacific Basin
663,T.F. Powys
664,Anne Salmond
665,conscientious objector
666,Aeolis
667,Peggy Lee
668,Gītāñjali
669,black oak
670,Adelaide Crapsey
671,Prahova
672,Crazy Horse
673,Virginia State University
674,Louise Colet
675,Kenneth III
676,Morton National Park
677,Gideon
678,Pittsburgh
679,Alfred Joseph Casson
680,tandoori cookery
681,Wellesley College
682,analytic psychology
683,indifference
684,Michiel Janszoon van Mierevelt
685,Andreas Gryphius
686,Maronite church
687,Béla III
688,Sochi
689,Lystrosaurus
690,aquamarine
691,Hipparchus
692,Isidor Philipp
693,June Jordan
694,electoral system
695,abbess
696,Musselshell River
697,Rafael Carrera
698,Jeanne Gang
699,Africanized honeybee
700,Nick Carraway
701,Anthony Bourdain
702,prawn
703,Staatliche Kunstsammlungen Dresden
704,Emil von Sauer
705,supply curve
706,al-Walīd
707,Jānis Balodis
708,Venantius Fortunatus
709,Louis Nirenberg
710,Snowdon
711,Lauren Bacall
712,Minna
713,Battle of Dogger Bank
714,Joris-Karl Huysmans
715,Jerzy Kosinski
716,Peter Gustav Lejeune Dirichlet
717,Antônio Carlos Jobim
718,Naḥmanides
719,Comet Ikeya-Seki
720,Wesley C. Mitchell
721,Liaoning
722,dhikr
723,Bates College
724,Fish River
725,acting
726,Gulf of Tadjoura
727,Westerwald
728,George Mifflin Dallas
729,Hiawatha
730,Belfast Lough
731,Frank Stanton
732,Andrei Gromyko
733,Theda Skocpol
734,Yamazaki Ansai
735,Linear A and Linear B
736,Aestheticism
737,Lorenzo Montúfar y Rivera Maestre
738,urea-formaldehyde resin
739,Khaled Meshaal
740,computer chip
741,Tsuruya Namboku IV
742,Mbayá
743,Valmont
744,Flensburg
745,Senior Courts of England and Wales
746,arch
747,Ibn al-ʿArabī
748,Anastasius II
749,parchment
750,Dalton Brothers
751,River Don
752,Ricky Jay
753,Alejandro Orfila
754,La Chaux-de-Fonds
755,moscovium
756,William Henry Waddington
757,Sagaing
758,Yorkshire
759,Jonah Hill
760,secretion
761,cowl
762,type name
763,trumpet marine
764,Edmund
765,Leonardo Bruni
766,Louis Feuillade
767,Heinrich Wölfflin
768,Faye Dunaway
769,airplane
770,sakaki
771,Léon Mba
772,North East Derbyshire
773,Margaret Anglin
774,Oscar Charleston
775,Aristagoras
776,Varese
777,Hechuan
778,Joseph Napolitan
779,mimesis
780,Vale Royal
781,fatsia
782,Kostís Palamás
783,Roy Harris
784,marketing
785,Maria Dąbrowska
786,Teles Pires River
787,Hattie Elizabeth Alexander
788,Afonso IV
789,gorilla
790,Gloucester
791,Manuel Gutiérrez Nájera
792,Temmincks cat
793,gibbon
794,Dayr al-Madīnah
795,Lou Andreas-Salomé
796,Czesław Miłosz
797,William Graham Sumner
798,Adorno Family
799,Ho-musubi
800,On the Beach
801,oxygen
802,Daytona 500
803,Lou Hoover
804,Imruʾ al-Qays
805,Council of Clermont
806,Leo IV
807,Valley of the Kings
808,Marietta Alboni
809,Eugenius II
810,Victor Grignard
811,emoji
812,agama
813,converse
814,Puerto Rico
815,Malvern Hills
816,Chavela Vargas
817,fundamental force
818,"James Brydges, 1st duke of Chandos"
819,North and South
820,Romola
821,hyperbaric chamber
822,molybdenum
823,liana
824,Gertrudis Gómez de Avellaneda
825,"Lucius Cary, 2nd Viscount of Falkland"
826,Carnivore
827,Joseph Hooker
828,Horace Wells
829,Berthold Kaempfert
830,National Aquarium in Baltimore
831,Tennis Court Oath
832,Great St. Bernard Pass
833,Yakub Beg
834,Caraquet
835,Edgar Mitchell
836,Hugh Miller
837,"Charles-Irénée Castel, abbé de Saint-Pierre"
838,epic formula
839,Koch
840,Murjiʾah
841,David Baltimore
842,polyembryony
843,Ellen Taaffe Zwilich
844,Capena
845,Bedřich Smetana
846,Maccabees
847,Robert L. Johnson
848,Al-Wāḥāt al-Khārijah
849,Flavius Stilicho
850,Cambridge Platonists
851,Indigo Revolt
852,Harry L. Hopkins
853,Léogâne
854,Lewiston
855,Al-Maḥallah al-Kubrā
856,Battle of Missionary Ridge
857,Balantidium
858,Vissarion Grigoryevich Belinsky
859,toxicology
860,money supply
861,i
862,Maria Bueno
863,Godfrey of Bouillon
864,ionizing radiation injury
865,morphophonemics
866,extortion
867,Eswatini
868,sand fly
869,Richard Feverel
870,Castries
871,Mompox
872,Strait Is the Gate
873,Frank Buckles
874,Vincent dIndy
875,Gūr-e Amīr
876,Marinus II
877,pentameter
878,geocentric model
879,Lutheranism
880,diligence
881,Touch of Evil
882,Zonguldak
883,Oceanic arts
884,König Rother
885,Mengzi
886,mountain mahogany
887,Adae
888,Sidney Crosby
889,bullbat
890,Beverly Sills
891,Hereroland
892,Union of Evangelical Christian Baptists
893,Bank of China Tower
894,Leif Erikson
895,Chick Corea
896,Madame X
897,enchanters nightshade
898,hypothermia
899,Tauric Chersonese
900,George O. Curme
901,R. Buckminster Fuller
902,Sothebys
903,John C. Heenan
904,São Paulo
905,wok
906,Aphra Behn
907,Louis XIII
908,yellow-green algae
909,Lu Mountains
910,disease
911,bar association
912,Sanūsiyyah
913,Serravalle
914,Fernando Valenzuela
915,Allgemeine Enzyklopädie der Wissenschaften und Künste
916,Abdelazer
917,Mario Vargas Llosa
918,diplomatic immunity
919,sangam literature
920,Anglo-Egyptian Condominium
921,utopia
922,Margaret Forster
923,Verners law
924,Baraboo
925,right whale
926,Christmas card
927,Mount Etna
928,Alfonso XI
929,Frank Dobson
930,Aaron Klug
931,ultimobranchial gland
932,Lubango
933,Giurgiu
934,chutney
935,Society of the Cincinnati
936,Mikhail Matveyevich Kheraskov
937,Cemal Paşa
938,Tarn River
939,long-eared owl
940,Karl Böhm
941,Anchorage
942,Panmunjŏm
943,Charles Gounod
944,Mount Olympus
945,sieve of Eratosthenes
946,Saint-Amand-Montrond
947,Timor Sea
948,M.F.K. Fisher
949,platform reef
950,excommunication
951,falconry
952,The Canons Yeomans Tale
953,Sudbury
954,sangha
955,Chuvashiya
956,Sir David Lyndsay
957,J.C. Arthur
958,London Group
959,Om Prakash Chautala
960,William Warburton
961,Southampton
962,Kalgan
963,Pedro II
964,Tehri
965,freesia
966,Roxas
967,Susan Polgar
968,particle physics
969,Whidbey Island
970,Parvati
971,Inge de Bruijn
972,Indra
973,Charles-Louis Philippe
974,Konstantin von Tischendorf
975,echidna
976,Alls Well That Ends Well
977,hydrotherapy
978,Little Walter
979,Alfred Brendel
980,Dessau
981,diabetic ketoacidosis
982,Tihāmat ʿAsīr
983,Lake Urmia
984,black-eyed Susan
985,René-Auguste Caillié
986,sex slavery
987,Bernard Maybeck
988,"Louis, duke dOrléans"
989,elastic wave
990,pokeweed
991,Sebastián Lerdo de Tejada
992,Luddite
993,Alexander Gottlieb Baumgarten
994,relaxin
995,xenotime
996,existential import
997,Thomas Doggett
998,Lisel Mueller
999,Pippi Longstocking
1000,"Henry Sidney, earl of Romney"
1001,strain
1002,turmeric
1003,Palladianism
1004,Ludovic Halévy
1005,Chono
1006,Ivan Hrušovský
1007,Clemson University
1008,Hans Lippershey
1009,Welf Dynasty
1010,day
1011,leprosy
1012,Olsztyn
1013,Cumberland River
1014,Isabel Perón
1015,Ellen Swallow Richards
1016,Gowrie
1017,Robert the Bruce
1018,subarachnoid hemorrhage
1019,eternity
1020,John Bowen
1021,Giorgio Vasari
1022,Davis
1023,Gigantopithecus
1024,Lake Khanka
1025,due process
1026,Protectorate
1027,blepharitis
1028,Niobid Painter
1029,Vicente López
1030,Waldo Semon
1031,Daniel Burnham
1032,Viktoria Luise of Prussia
1033,Khasekhemwy
1034,Liezi
1035,plesiosaur
1036,Alexander H. Stephens
1037,shooting
1038,Balurghat
1039,Robert Fitzsimmons
1040,Bolshoi Theatre
1041,Etruria
1042,Sir George Thomas Beilby
1043,Book Cliffs
1044,Steven Pinker
1045,Aḥmad Grāñ
1046,Velenje
1047,dicyemid
1048,Xiangtan
1049,geomagnetic field
1050,Marcus Atilius Regulus
1051,Navajo
1052,Georges Leclanché
1053,Captain America
1054,Samadet faience
1055,internal pair production
1056,dividing engine
1057,Stanley F. Reed
1058,Christian Dotremont
1059,Hard Times
1060,Burushaski language
1061,water chestnut
1062,Bohemond V
1063,homoousios
1064,Taurus-Littrow Valley
1065,Paul Morand
1066,kite
1067,dissociative disorder
1068,Ralph Heyward Isham
1069,attainder
1070,Artibonite River
1071,Alexandre Yersin
1072,James Mattis
1073,Neuss
1074,Saccopastore skulls
1075,peregrine falcon
1076,Pauls Valley
1077,Christiaan Eijkman
1078,polytonality
1079,Booker Prize
1080,chuckwalla
1081,Rajshahi
1082,Firishtah
1083,Chishtīyah
1084,the Flash
1085,Lars Johansson
1086,Yasawa Group
1087,Apollonius Of Tyana
1088,Breadalbane
1089,Jōchō
1090,Johannes Vermeer
1091,mandrel
1092,Karnak
1093,Salerno
1094,Robert B. Laughlin
1095,William Keighley
1096,influenza pandemic (H1N1) of 2009
1097,Armenian alphabet
1098,epithelium
1099,information science
1100,Louis Bourdaloue
1101,Horn &amp; Hardart Automat
1102,Friedrich Wilhelm Bessel
1103,Philipps University of Marburg
1104,Caeneus
1105,atomic number
1106,Gilbert Foliot
1107,Zhu Wen
1108,bioplastic
1109,mordant dye
1110,Kyrgyz language
1111,Soninke
1112,Druid
1113,William Dollar
1114,pickleball
1115,Thomas Basin
1116,Dum Dum
1117,factor
1118,Meppel
1119,Cork
1120,whale louse
1121,Lur
1122,Henry C. Carey
1123,John OMahony
1124,Dawson Creek
1125,Lustenau
1126,The Art of Fiction
1127,Mahanadi River
1128,nerve gas
1129,Port Dickson
1130,Cetinje
1131,habeas corpus
1132,crowns of Egypt
1133,Karakoram Highway
1134,Janūb Sīnāʾ
1135,weights and measures
1136,reinforced concrete
1137,Carlos Menem
1138,triphylite
1139,United Development Party
1140,Ahmed Messali Hadj
1141,Texas Southern University
1142,"Louis I, duke dOrléans"
1143,Jhumpa Lahiri
1144,leatherback sea turtle
1145,reason
1146,voluntarism
1147,Denis Diderot
1148,Apollo
1149,Beaumont Newhall
1150,Phocas
1151,knish
1152,shoal
1153,Nagaon
1154,New Zealand Labour Party
1155,Charles XIII
1156,Mars Reconnaissance Orbiter
1157,Wu Jingzi
1158,Luc Jacquet
1159,Chlodio
1160,Lake Mar Chiquita
1161,Robert Koldewey
1162,chromite
1163,Namdhari
1164,Lennart Carleson
1165,Edward
1166,USA PATRIOT Act
1167,Ulverstone
1168,Suebi
1169,Petropavlovsk
1170,Cerro Tololo Inter-American Observatory
1171,Eurobarometer
1172,Muʿizz al-Dīn Muḥammad ibn Sām
1173,Baculites
1174,free will
1175,John Callcott Horsley
1176,Marie Laveau
1177,Asyūṭ
1178,Emma Lazarus
1179,William P. Murphy
1180,quiz show
1181,Kajita Takaaki
1182,Fali
1183,artichoke
1184,Paolo Sarpi
1185,John Clifford Hodges Lee
1186,cat scratch disease
1187,Mary Ellen Chase
1188,environmentalism
1189,Charles Felix
1190,The Dybbuk
1191,Sergey Nikolayevich Bulgakov
1192,rangaku
1193,Badakhshān
1194,"Sir George Carteret, Baronet"
1195,Tetramelaceae
1196,Malthusianism
1197,Amrita Sher-Gil
1198,Alfred Bruneau
1199,Rostov family
1200,guillemot
1201,Evangelical Lutheran Church of Denmark
1202,Ishikawa
1203,Coronation Carpet
1204,Franciscus Accursius
1205,Obrenović dynasty
1206,neo-Thomism
1207,Poissons spot
1208,Binnya Dala
1209,Octobrist
1210,Centre
1211,Auvergne
1212,"John Dudley, duke of Northumberland"
1213,Jane Jacobs
1214,magnetic ceramics
1215,Makapansgat
1216,Yakubu Gowon
1217,John Manley
1218,Jacob of Edessa
1219,Spanish Inquisition
1220,John Amos Comenius
1221,Komoé River
1222,papillon
1223,Braccio da Montone
1224,Meghnad N. Saha
1225,James Beattie
1226,Circe
1227,secession
1228,mifepristone
1229,Ralph Eugene Meatyard
1230,touch reception
1231,Ela Bhatt
1232,Corazon Aquino
1233,Fontina
1234,Dred Scott decision
1235,laughing gull
1236,Ganga dynasty
1237,Dot Richardson
1238,Joel Osteen
1239,Margaret Morse Nice
1240,Łódź
1241,Tyvan
1242,Sir John Davies
1243,"Philip Howard, 1st (or 13th) earl of Arundel"
1244,Eduardo Torroja
1245,Visayan Islands
1246,Amy Schumer
1247,Hermann Günther Grassmann
1248,Saint Nicodemus the Hagiorite
1249,olfactory system
1250,John H. Johnson
1251,veduta
1252,Peter Porter
1253,Pasuruan
1254,ihram
1255,Scrophulariaceae
1256,Chegutu
1257,Yana Klochkova
1258,hierarchy
1259,Thomas The Rhymer
1260,bieri
1261,Birago Diop
1262,Heusler alloy
1263,Hermann Kurz
1264,"Sir James Hall, 4th Baronet"
1265,Cancún
1266,glossitis
1267,tag
1268,Harpers Magazine
1269,Orest Adamovich Kiprensky
1270,Thiruvananthapuram
1271,hosta
1272,Jon Tester
1273,Hugh of Saint-Victor
1274,feijoa
1275,Free Territory of Trieste
1276,New Humanism
1277,sunstone
1278,François Maynard
1279,Harold Brodkey
1280,City of Boerne v. Flores
1281,Traffic
1282,squab
1283,Hedi Slimane
1284,William Chandler Bagley
1285,Réunion
1286,Iowa City
1287,Jimi Hendrix
1288,doctorate
1289,Bonny
1290,Selenga River
1291,Chesapeake and Ohio Railway Company
1292,"PPG Industries, Inc."
1293,musical expression
1294,Bangkok National Museum
1295,astronomical observatory
1296,Abraham Mapu
1297,Toʾ Janggut
1298,Easley Blackwood
1299,Fairleigh Dickinson University
1300,wollastonite
1301,Battle of Chattanooga
1302,cypress pine
1303,André Cayatte
1304,pediatrics
1305,Phetracha
1306,Saint Siricius
1307,Tippu Sultan
1308,Tanglewood Tales for Girls and Boys
1309,Paul Verhoeven
1310,Vincenzo Monti
1311,Germaine Richier
1312,cataplexy
1313,amen
1314,Bartolomeo Cristofori
1315,Düren
1316,pickeringite
1317,Muḥammad ibn ʿAbd al-Wahhāb
1318,Fuligo
1319,Harīrūd
1320,"Filips van Montmorency, count van Horne"
1321,Wacław Berent
1322,Patrick Chrestien Gordon Walker
1323,butchers broom
1324,Ramiro de Maeztu
1325,Pueblo Rebellion
1326,Arthur Cayley
1327,Wallis and Futuna
1328,talent
1329,"Barbara Juliane, baroness von Krüdener"
1330,Hay River
1331,periosteum
1332,Culture System
1333,Adolphe Chéruel
1334,Flin Flon
1335,Toda
1336,Abraham Lincoln: The War Years
1337,St. Rose Philippine Duchesne
1338,Cuenca
1339,Canute (I)
1340,Wilhelm Backhaus
1341,Kurt Herbert Adler
1342,Fort-de-France
1343,phenothiazine
